,S1701_C01_001E,S2201_C01_001E,S0101_C01_024E,S0101_C01_022E,S0101_C01_028E,S0101_C02_032E,S2301_C01_001E,B01001_001E,B25001_001E,B25002_001E,B25004_001E,B25005_001E,B25048_001E,B25052_001E,B25006_001E,B25007_012E,B25041_003E,B25041_004E,B25041_005E,B25041_006E,B25041_007E,B25019_001E,B06011_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,2018
100,542377,221133,212987,115686,139341,-888888888,456484,558703,245558,245558,24425.0,24425.0,221133,221133.0,221133.0,70248,19615,64440,111010,38309,9412,1468007,27867.0,46183.0,111166.0,130726.0,66688.0,37582.0,26702673.0
101,96907,39678,37898,23122,23335,-888888888,78343,98976,43892,43892,4214.0,4214.0,39678,39678.0,39678.0,11186,3519,10791,15908,9532,2881,273835,32603.0,4031.0,19457.0,26516.0,12065.0,5948.0,5192640.0
102,9341637,3538101,3866031,2159045,1972550,-888888888,7589015,9497790,3858653,3858653,320552.0,320552.0,3538101,3538101.0,3538101.0,1246171,472108,1091243,1320223,665821,193515,22579297,35065.0,710098.0,1568191.0,1703780.0,1494347.0,1002628.0,615470781.0
103,1099473,480106,426523,228155,288753,-888888888,931734,1130152,530321,530321,50215.0,50215.0,480106,480106.0,480106.0,166746,48484,140286,226787,87546,17486,3185224,31624.0,68595.0,222263.0,239929.0,150474.0,118864.0,61089398.0
104,161866,64700,64108,36955,38922,-888888888,133308,166436,71655,71655,6955.0,6955.0,64700,64700.0,64700.0,21578,5871,21248,35439,7630,1129,401013,28639.0,13312.0,31861.0,37636.0,20870.0,7709.0,5477539.0
105,210601,87329,93763,41102,51260,-888888888,184706,220612,98586,98586,11257.0,11257.0,87329,87329.0,87329.0,29246,10192,31110,36535,14598,3070,565779,32931.0,9172.0,34221.0,37629.0,42726.0,25488.0,12560096.0
106,109795,41239,45071,27201,21778,-888888888,88694,112664,45998,45998,4759.0,4759.0,41239,41239.0,41239.0,11935,1472,8409,19595,12644,3600,309232,40903.0,6815.0,24037.0,17012.0,15078.0,10306.0,6584760.0
107,388674,163626,141060,85377,104930,-888888888,322748,398655,180625,180625,16999.0,16999.0,163626,163626.0,163626.0,51879,13811,49882,82204,27856,4907,1122689,26939.0,22535.0,108134.0,89317.0,38847.0,20547.0,18545429.0
108,745525,281222,235114,132674,268785,-888888888,637646,754610,399741,399741,118519.0,118519.0,281222,281222.0,281222.0,76370,25648,147123,177486,37775,6176,2113503,27889.0,59223.0,176117.0,167453.0,104532.0,62227.0,27417640.0
109,226193,88636,95977,46212,58620,-888888888,190638,231256,100038,100038,11402.0,11402.0,88636,88636.0,88636.0,36695,11750,32573,42154,11426,1287,522349,24872.0,13849.0,34495.0,64555.0,26382.0,13631.0,9366983.0
110,2136790,862535,857693,510494,469319,-888888888,1736448,2189442,938179,938179,75644.0,75644.0,862535,862535.0,862535.0,298002,109813,232470,351845,194021,34585,5830188,32364.0,127453.0,435876.0,410286.0,306971.0,194611.0,129838822.0
111,278293,104502,134728,76735,44526,-888888888,221020,290745,120476,120476,15974.0,15974.0,104502,104502.0,104502.0,44635,6091,29370,58316,21767,4086,716721,30223.0,12881.0,50542.0,64944.0,32863.0,16325.0,11139831.0
112,120644,46778,48049,26013,28871,-888888888,101680,124748,53586,53586,6808.0,6808.0,46778,46778.0,46778.0,15235,2960,16173,25359,6445,2182,307983,24447.0,13443.0,28636.0,27437.0,9578.0,6615.0,4326754.0
113,2015563,866039,756909,433874,529983,-888888888,1675861,2057009,963538,963538,97499.0,97499.0,866039,866039.0,866039.0,308240,100777,242955,377580,184470,40746,5987447,31226.0,131446.0,406997.0,436409.0,288170.0,185318.0,116646873.0
114,159779,64955,58980,36630,40751,-888888888,128401,161505,72500,72500,7545.0,7545.0,64955,64955.0,64955.0,18241,5421,18707,29481,13464,4543,444847,28344.0,8837.0,32721.0,42017.0,18844.0,10173.0,5674115.0
115,248252,94615,141315,57124,37517,-888888888,214535,265024,110533,110533,15918.0,15918.0,94615,94615.0,94615.0,47545,14482,26910,41247,20622,3988,580342,24026.0,18683.0,31763.0,36237.0,31885.0,27433.0,13857364.0
116,719787,271694,318068,176140,140029,-888888888,581664,738939,288688,288688,16994.0,16994.0,271694,271694.0,271694.0,91756,23404,64885,90633,70592,33994,1846581,32137.0,32119.0,95173.0,169453.0,111270.0,75311.0,33113428.0
117,170672,72217,90098,36539,32208,-888888888,147029,180005,78945,78945,35586.901162790695,6728.0,72217,72217.0,72217.0,33107,5131,21211,31369,14937,4682,462677,28415.0,5154.0,20358.0,29905.0,27958.0,24033.0,8970153.0
118,799498,315092,348701,182635,174760,-888888888,671888,833165,359090,359090,43998.0,43998.0,315092,315092.0,315092.0,103613,22227,75825,167203,64421,17369,2162829,28330.0,50825.0,153844.0,176459.0,104708.0,66891.0,37990145.0
