,NAME,B01001_001E,B25001_001E,B25002_001E,B25004_001E,B25005_001E,B25048_001E,B25052_001E,B25006_001E,B25007_012E,B25041_003E,B25041_004E,B25041_005E,B25041_006E,B25041_007E,B25019_001E,B06011_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,msa
422,"San Juan-Carolina-Caguas, PR Metro Area",2024604,971988,971988,222466,222466,749522,749522,749522,245385,55800,183165,546655,145957,19719,4624849,,,,,,,41980
423,"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",284010,122971,122971,16773,16773,106198,106198,106198,41118,11241,36842,53366,15170,2913,657273,32089,16942,37705,69441,41426,24565,42020
424,"Santa Cruz-Watsonville, CA Metro Area",274255,106718,106718,11724,11724,94994,94994,94994,37907,13391,33901,40137,12745,2225,548116,32252,24755,27506,55971,42071,30470,42100
425,"Santa Fe, NM Metro Area",150056,73463,73463,10756,10756,62707,62707,62707,18075,6629,20579,34818,8475,1328,388582,32428,13029,27867,27133,21263,22902,42140
426,"Santa Maria-Santa Barbara, CA Metro Area",446527,158315,158315,12091,12091,146224,146224,146224,69620,22219,45227,54897,24082,5370,824565,29344,51380,52227,77140,55568,40852,42200
427,"Santa Rosa, CA Metro Area",499942,205247,205247,17813,17813,187434,187434,187434,72190,23882,62274,76058,31915,5599,1094336,35380,40409,65771,124337,79289,51071,42220
428,"Savannah, GA Metro Area",389494,163292,163292,20383,20383,142909,142909,142909,56498,15130,34548,80413,23725,7725,983498,30075,24402,72249,83971,46870,33728,42340
429,"Scranton--Wilkes-Barre--Hazleton, PA Metro Area",555485,264517,264517,36786,36786,227731,227731,227731,74083,25643,58701,124787,39694,10378,1618404,27156,37528,152591,105585,64041,36901,42540
431,"Seattle-Tacoma-Bellevue, WA Metro Area",3939363,1617428,1617428,91218,91218,1526210,1526210,1526210,614200,224494,383029,532168,313297,87333,9211505,41881,195671,530239,835499,742826,465479,42660
432,"Sebastian-Vero Beach, FL Metro Area",157413,81037,81037,23401,23401,57636,57636,57636,10101,4720,26210,38887,9352,1602,472329,26174,14094,32187,40474,23478,13431,42680
433,"Sebring, FL Metro Area",105424,55760,55760,15187,15187,40573,40573,,8675,5983,23930,20927,3217,607,277350,22193,10657,30499,24807,8725,4971,42700
437,"Sheboygan, WI Metro Area",115456,51352,51352,,5044,46308,46308,46308,13106,3581,13745,24110,7371,1965,314079,35143,5518,28207,27896,12823,6598,43100
440,"Sherman-Denison, TX Metro Area",133991,56735,56735,7772,7772,48963,48963,48963,16167,3863,14812,27980,6831,1889,341082,27959,9183,26797,35438,11880,7221,43300
442,"Shreveport-Bossier City, LA Metro Area",436341,204144,204144,32604,32604,171540,171540,171540,65989,21484,45941,102769,27358,3501,1127019,24376,38500,101063,84573,45387,23232,43340
443,"Sierra Vista-Douglas, AZ Metro Area",126770,61318,61318,11567,11567,49751,49751,49751,14049,4097,15091,27133,12281,1048,351985,24579,11136,22049,36044,11563,7776,43420
444,"Sioux City, IA-NE-SD Metro Area",169354,71056,71056,5126,5126,65930,65930,65930,20997,6835,20110,25487,12902,4477,447101,31781,12722,35233,38575,17497,8036,43580
445,"Sioux Falls, SD Metro Area",266100,111652,111652,9002,9002,102650,102650,102650,33829,10897,30276,35543,21752,9933,692278,32396,11560,45639,57911,40942,18214,43620
447,"South Bend-Mishawaka, IN-MI Metro Area",322424,143517,143517,14939,14939,128578,128578,128578,38750,13681,37814,59141,25484,4574,867462,28661,22479,64192,63737,38448,25620,43780
448,"Spartanburg, SC Metro Area",341298,145544,145544,17892,17892,127652,127652,127652,37318,7844,33252,76999,20456,5304,860827,26372,30494,73880,73809,34395,19313,43900
449,"Spokane-Spokane Valley, WA Metro Area",573527,249137,249137,20119,20119,229018,229018,229018,80536,27319,63231,80741,52674,19505,1530929,29204,26037,93450,156376,76781,42143,44060
450,"Springfield, IL Metro Area",207676,97663,97663,9362,9362,88301,88301,88301,27712,7804,27947,43175,14640,3069,593771,34448,10781,41163,45225,29645,18214,44100
451,"Springfield, MA Metro Area",631761,257938,257938,20358,20358,237580,237580,237580,91567,31647,69734,100417,38781,9886,1453567,28867,53817,115878,112566,78050,60390,44140
452,"Springfield, MO Metro Area",468126,205574,205574,13061,13061,192513,192513,192513,73200,16799,51919,87691,25777,11166,1165656,26202,28906,91600,105545,49521,32723,44180
453,"Springfield, OH Metro Area",134585,61307,61307,5980,5980,55327,55327,55327,19269,5262,18668,26812,8394,1350,360708,27165,11062,31732,31858,11920,5762,44220
454,"State College, PA Metro Area",162805,67155,67155,8641,8641,58514,58514,58514,21542,8431,13842,27682,11511,3095,397194,26019,5240,28321,18596,23042,22748,44300
456,"Staunton-Waynesboro, VA Metro Area",123007,55170,55170,5125,5125,50045,50045,50045,15916,3389,14051,26240,9205,1704,335138,28781,11437,34146,21711,14277,8265,44420
459,"Stockton-Lodi, CA Metro Area",752660,245561,245561,13644,13644,231917,231917,231917,105439,20227,57005,97772,50407,13620,1370230,29768,94407,146372,149489,58966,26390,44700
460,"Sumter, SC Metro Area",106512,48282,48282,7886,7886,40396,40396,40396,15206,2192,8431,27606,8254,1509,290757,24608,10425,20687,25548,9148,5131,44940
462,"Syracuse, NY Metro Area",650502,296359,296359,38916,38916,257443,257443,257443,82115,33842,72597,115078,58539,11506,1819351,31250,43086,125608,133029,75739,65562,45060
464,"Tallahassee, FL Metro Area",387455,171457,171457,25106,25106,146351,146351,146351,59846,17428,38185,84243,25620,4072,936036,26720,25991,61730,67484,50249,38550,45220
465,"Tampa-St. Petersburg-Clearwater, FL Metro Area",3142663,1435447,1435447,208122,208122,1227325,1227325,1227325,432831,163411,528892,478928,195600,40636,7749024,29343,231724,668969,672683,451071,248314,45300
466,"Terre Haute, IN Metro Area",168679,75293,75293,7546,7546,67747,67747,67747,22917,6824,23588,29748,9219,2721,439199,25851,9870,41130,36233,15150,9198,45460
467,"Texarkana, TX-AR Metro Area",151675,66700,66700,10090,10090,56610,56610,56610,20702,5086,15923,33998,7264,581,362847,26767,11254,35049,36851,13781,6042,45500
468,"The Villages, FL Metro Area",128754,72372,72372,,9518,62854,62854,,7883,2387,23313,43528,2611,240,382055,27373,9829,34205,36024,19542,16253,45540
469,"Toledo, OH Metro Area",602871,275164,275164,29512,29512,245652,245652,245652,92477,29208,72147,115526,46886,7742,1669796,27597,36932,129604,127941,65469,42234,45780
470,"Topeka, KS Metro Area",232594,105397,105397,10033,10033,95364,95364,95364,30434,8423,26083,41993,16450,5148,626110,31047,13195,52062,48102,29521,15175,45820
473,"Trenton, NJ Metro Area",369811,145132,145132,12152,12152,132980,132980,132980,49761,18793,34255,46959,31335,9846,884947,33576,32557,63288,48004,54834,50353,45940
475,"Tucson, AZ Metro Area",1039073,462778,462778,60455,60455,402323,402323,402323,151689,64765,127490,165021,79337,12992,2425274,27521,82016,162971,234566,129456,91482,46060
477,"Tulsa, OK Metro Area",993928,434806,434806,53218,53218,381588,381588,381588,133682,44447,95925,202809,69263,14403,2524574,30010,67774,193541,218968,124689,58085,46140
479,"Tuscaloosa, AL Metro Area",244895,110843,110843,23246,23246,87597,87597,87597,31315,9993,26487,49397,19580,4087,622839,24119,16063,51052,46527,25138,17576,46220
480,"Twin Falls, ID Metro Area",109264,42170,42170,,,40130,40130,,12524,3031,8632,18384,8233,2731,257859,27209,11053,19209,25682,7827,5721,46300
481,"Tyler, TX Metro Area",230221,91101,91101,13771,13771,77330,77330,77330,25458,7226,18785,44193,15774,2261,514324,27242,20963,34354,52893,27357,15342,46340
483,"Urban Honolulu, HI Metro Area",980080,352582,352582,44374,44374,308208,308208,308208,137431,46942,93458,109755,57199,20897,1708035,36007,55984,175410,210213,157316,82465,46520
484,"Utica-Rome, NY Metro Area",291410,139326,139326,26526,26526,112800,112800,112800,36881,14578,33565,60046,22685,6469,846749,29714,21009,68815,61656,28941,23033,46540
485,"Valdosta, GA Metro Area",145577,62704,62704,9024,9024,53680,53680,53680,25015,4736,13298,32603,10411,1078,347572,25338,13228,30192,27758,11199,7112,46660
486,"Vallejo-Fairfield, CA Metro Area",446610,158815,158815,6524,6524,152291,152291,152291,56434,15632,33404,60292,38716,7360,903683,38942,33645,72214,117535,57916,27580,46700
487,"Victoria, TX Metro Area",99047,41067,41067,6337,6337,34730,34730,34730,10947,5279,11047,18921,5236,328,224795,26343,9539,20301,22176,9367,3911,47020
488,"Vineland-Bridgeton, NJ Metro Area",150972,56497,56497,6463,6463,50034,50034,50034,16264,6086,11540,27140,9549,842,348665,25321,21423,36875,27549,10088,6968,47220
489,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",1729114,721597,721597,67122,67122,654475,654475,654475,257608,52026,174364,287952,154730,38757,4445441,32545,92472,286563,398252,235032,148307,47260
490,"Visalia-Porterville, CA Metro Area",465861,150217,150217,11020,11020,139197,139197,139197,57335,11387,38118,67818,26507,3524,799097,22649,79520,70194,81705,27845,15956,47300
491,"Waco, TX Metro Area",270566,110987,110987,13600,13600,97387,97387,97387,40753,10547,30528,49934,16242,2238,609719,24597,25068,45774,55837,25860,14118,47380
492,"Walla Walla, WA Metro Area",65611,27382,27382,,3489,23893,23893,23893,9409,3108,6937,9817,4635,1773,160310,26447,5222,8475,17542,7361,4608,47460
493,"Warner Robins, GA Metro Area",193729,79525,79525,,8014,71511,71511,,26258,4578,18388,35682,15654,3520,472660,30641,15218,36143,41391,21497,14259,47580
495,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",6251240,2374883,2374883,140324,140324,2234559,2234559,2234559,814784,321909,502768,705972,535283,238034,15297831,47121,370099,761856,935331,1115304,1085498,47900
496,"Waterloo-Cedar Falls, IA Metro Area",169659,74416,74416,6032,6032,68384,68384,68384,20933,7184,20794,29265,12334,3721,455126,28475,8767,33619,34585,21933,10222,47940
498,"Watertown-Fort Drum, NY Metro Area",111755,60041,60041,15384,15384,44657,44657,44657,20244,6173,17082,25142,7664,2692,352698,29567,5928,23750,25061,9580,6521,48060
499,"Wausau, WI Metro Area",135428,59706,59706,,3461,56245,56245,56245,15745,3660,14064,27839,10436,2587,372020,32444,7262,30777,29629,17474,8460,48140
500,"Weirton-Steubenville, WV-OH Metro Area",120228,58798,58798,7118,7118,51680,51680,51680,14531,3824,17860,29366,5663,1399,357355,24958,8262,39145,25568,8600,5995,48260
501,"Wenatchee, WA Metro Area",119943,55248,55248,7393,7393,47855,47855,47855,16817,4956,14882,23811,8217,2060,309845,30896,14208,22022,24827,13112,7977,48300
502,"Wheeling, WV-OH Metro Area",140045,68798,68798,16363,16363,52435,52435,,13270,6157,19123,33745,7528,1052,413654,25786,7704,41491,29903,15457,7794,48540
504,"Wichita, KS Metro Area",645031,277530,277530,28731,28731,248799,248799,248799,83628,29944,65717,102960,46659,25051,1749632,29939,40683,110689,139233,82681,49035,48620
505,"Wichita Falls, TX Metro Area",151306,65446,65446,11017,11017,54429,54429,54429,19483,5287,17949,31536,8999,1209,369882,24786,11988,31058,32397,14003,8344,48660
506,"Williamsport, PA Metro Area",113664,53530,53530,8945,8945,44585,44585,44585,13722,5057,11877,25205,7258,2547,326887,26815,7138,30323,22512,13710,6298,48700
507,"Wilmington, NC Metro Area",294436,142860,142860,21974,21974,120886,120886,120886,47436,10139,35554,66543,23046,4786,810292,29421,15851,43703,66461,53011,24632,48900
509,"Winchester, VA-WV Metro Area",141848,61985,61985,8270,8270,53715,53715,53715,16538,4271,14720,28032,10625,2960,390172,33105,11962,31752,28314,14393,11290,49020
510,"Winston-Salem, NC Metro Area",671456,301150,301150,30378,30378,270772,270772,270772,96578,24285,76840,152394,35123,9018,1737686,28013,64384,134871,145756,77774,42332,49180
513,"Worcester, MA-CT Metro Area",947866,386302,386302,32900,32900,353402,353402,353402,119144,46324,105700,149504,64376,14144,2261415,34231,57107,184187,180154,143951,92504,49340
514,"Yakima, WA Metro Area",251446,89129,89129,5809,5809,83320,83320,83320,30382,7212,23487,37861,14144,2538,499086,25401,40511,42310,44188,15520,10130,49420
515,"York-Hanover, PA Metro Area",448273,184880,184880,10922,10922,173958,173958,173958,43236,14091,41123,81762,35331,9747,1192807,31971,31084,122067,78919,52368,27506,49620
516,"Youngstown-Warren-Boardman, OH-PA Metro Area",538952,259297,259297,31820,31820,227477,227477,227477,68788,18743,68683,123922,35269,7756,1575638,26139,38264,155544,105312,54490,30702,49660
517,"Yuba City, CA Metro Area",174848,63163,63163,4983,4983,58180,58180,58180,23342,4945,17450,27699,10407,2064,354017,26458,23576,24733,44572,13485,6939,49700
518,"Yuma, AZ Metro Area",212128,93571,93571,19039,19039,74532,74532,74532,25582,16925,23061,37090,12027,864,448802,23737,33019,36638,42733,15554,7169,49740
