GeoFips,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
20940,"El Centro, CA (Metropolitan Statistical Area)",5099630,6154752,5765542,5601746,6119408,6734211,6572478,7484791,7130243,7015160,7311763,6921213,7300590,7799949,8533302,8598682,8609928,8493669,8980597
21060,"Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",4157546,4196123,4314098,4456160,4555490,4812542,4795760,5057799,5034163,5636711,5942995,5678723,5590602,5381664,5181260,5203840,5274978,5276790,5313553
21140,"Elkhart-Goshen, IN (Metropolitan Statistical Area)",7813845,8428001,9242953,9809262,10525388,11233263,11257556,9777601,7210515,9532552,9418462,9622682,10298137,11219226,12152661,13239009,14725690,14834828,14500980
21300,"Elmira, NY (Metropolitan Statistical Area)",3007745,3013155,3048571,3073855,3166207,3257478,3326328,3476704,3456510,3664626,3734403,3719797,3718971,3710270,3630217,3551607,3484253,3549347,3627023
21340,"El Paso, TX (Metropolitan Statistical Area)",19855213,20519923,20666772,21548544,22064476,22769045,23678903,23402155,23868913,25549819,26857157,27365006,26974594,26636616,27010269,27416914,28082316,28874716,29193881
21420,"Enid, OK (Metropolitan Statistical Area)",1967320,2016609,2112176,2173590,2268368,2379245,2540956,2788868,2867003,2991591,3061612,3509256,3627497,4109152,4082565,4364767,3183575,3186594,3201330
21500,"Erie, PA (Metropolitan Statistical Area)",10328605,10249812,10276327,10604380,10991461,11340300,11706937,12469124,11471827,11626690,12107206,11650608,11729516,11234238,11294436,10903803,10657391,10767875,10915678
21660,"Eugene-Springfield, OR (Metropolitan Statistical Area)",11084186,11331637,11555712,12103606,12664356,13402952,13573359,13409254,12556292,12597100,12699371,12757470,12792360,12980087,13745313,14248610,14804557,15228030,15482217
21780,"Evansville, IN-KY (Metropolitan Statistical Area)",14962911,15748077,16283633,17067296,16705802,15671928,15575143,16189089,15482421,15839034,16046194,15744240,15140790,14925126,15047744,15219246,16119202,16544397,17368860
21820,"Fairbanks, AK (Metropolitan Statistical Area) *",5840563,5049318,5074683,5146883,5628500,5813835,5900470,6403944,6247986,6291114,5843051,5559955,5401305,5370140,5274325,5289322,5237071,5317630,5217255
22020,"Fargo, ND-MN (Metropolitan Statistical Area)",7816374,8305418,8735460,9092690,9420872,9758479,10059841,10376332,10149404,10549339,11102496,12012831,11979798,12898357,13134960,12988086,13201480,13443394,13574287
22140,"Farmington, NM (Metropolitan Statistical Area)",6569137,6588630,6485236,6618067,6646939,6877309,7055955,6901531,6979529,6529361,6495052,6407538,6319939,6582526,6863574,6383882,6316120,5846232,5907349
